Timestamp,Your mean shoe size In the European Continental system,Which program are you studying,Your height in International inches,Why are you taking this course,How many letters are there in the word Seattle,Year,Enter Your Password
26/08/2020 08:34:11,44.0,"MSc Software Design, ITU",6.1,"I'm not sure, let's see how it works out, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:12,39.0,"MSc Software Design, ITU",68.0,This was mandatory for me,,2023,#DAMIN&2023#
26/08/2020 08:34:18,43.0,"MSc Software Design, ITU",73.23,It is the most exciting,,2023,#DAMIN&2023#
26/08/2020 08:34:18,38.5,"MSc Software Design, ITU",68.0,I am interested in natural science & engineering and data mining is a good tool for these fields,,2023,#DAMIN&2023#
26/08/2020 08:34:20,39.0,"MSc Software Design, ITU",178.0,It'll give me business skills,,2023,#DAMIN&2023#
26/08/2020 08:34:24,38.0,MSc elsewhere,70.07,"The other courses were even less attractive, I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:34:26,44.0,"MSc Software Design, ITU",71.0,"It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:27,37.0,"MSc Software Design, ITU",65.0,This was mandatory for me,,2023,#DAMIN&2023#
26/08/2020 08:34:32,45.0,"MSc Software Design, ITU",73.0,"It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:34,38.0,"MSc Software Design, ITU",64.0,"The other courses were even less attractive, It is the most exciting, This was mandatory for me, I'm not sure, let's see how it works out, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:39,37.0,MSc elsewhere,63.78,It'll give me business skills,,2023,#DAMIN&2023#
26/08/2020 08:34:41,38.0,"MSc Software Design, ITU",64.56692913,"It is the most exciting, I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:34:44,36.0,"MSc Software Design, ITU",63.0,"I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:34:45,40.0,"MSc Software Design, ITU",68.0,"It is the most exciting, I'm not sure, let's see how it works out, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:46,43.0,"MSc Software Design, ITU",71.0,"I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:34:49,39.0,"MSc Software Design, ITU",67.7,"The other courses were even less attractive, I'm not sure, let's see how it works out, Dr. Derczynski's accent <3",,2023,#DAMIN&2023#
26/08/2020 08:34:54,42.5,MSc elsewhere,68.9,"The other courses were even less attractive, It is the most exciting",,2023,#DAMIN&2023#
26/08/2020 08:34:58,43.5,"MSc Software Design, ITU",71.2,I wish to become the Data Mining Guru at my current workplace,,2023,#DAMIN&2023#
26/08/2020 08:34:58,39.0,"MSc Software Design, ITU",68.0,It is the most exciting,,2023,#DAMIN&2023#
26/08/2020 08:35:03,45.0,"MSc Software Design, ITU",73.0,"I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:35:12,41.0,MSc elsewhere,70.5,"I'm not sure, let's see how it works out, Hoping to learn to gather data ",,2023,#DAMIN&2023#
26/08/2020 08:35:14,43.0,MSc elsewhere,68.0,It is the most exciting,,2023,#DAMIN&2023#
26/08/2020 08:35:15,40.0,"MSc Software Design, ITU",70.8,"The other courses were even less attractive, I'm not sure, let's see how it works out, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:35:19,9.0,"MSc Software Design, ITU",55.0,"I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
26/08/2020 08:35:51,46.0,MSc elsewhere,70.9,Data Attraction,,2023,#DAMIN&2023#
26/08/2020 08:35:56,38.0,"MSc Software Design, ITU",173.0,It'll give me business skills,,2023,#DAMIN&2023#
27/08/2020 09:39:56,40.0,"MSc Software Design, ITU",183.0,It'll give me business skills,,2023,#DAMIN&2023#
01/09/2020 15:06:20,45.0,"MSc Software Design, ITU",74.8,"It is the most exciting, It'll give me business skills, I hope to learn/do some Machine Learning before I graduate!",,2023,#DAMIN&2023#
02/09/2020 07:29:48,42.0,"MSc Software Design, ITU",72.44,Machinelearning is awesome,,2023,#DAMIN&2023#
30/08/2021 14:28:40,37.0,"MSc Software Design, ITU",63.0,"I'm not sure, let's see how it works out",,2023,#DAMIN&2023#
30/08/2021 14:28:57,39.0,"MSc Software Design, ITU",66.0,"It is the most exciting, This was mandatory for me",,2023,#DAMIN&2023#
30/08/2021 14:29:36,45.0,"MSc Software Design, ITU",70.0,This was mandatory for me,,2023,#DAMIN&2023#
30/08/2021 14:30:14,38.0,MSc elsewhere,176.0,It is the most exciting,,2023,#DAMIN&2023#
30/08/2021 14:30:39,41.0,"MSc Software Design, ITU",67.71654,"It is the most exciting, This was mandatory for me",,2023,#DAMIN&2023#
30/08/2021 14:30:51,39.0,MSc elsewhere,62.0,"The other courses were even less attractive, It is the most exciting",,2023,#DAMIN&2023#
30/08/2021 14:30:57,39.0,"MSc Software Design, ITU",66.0,"It is the most exciting, This was mandatory for me",,2023,#DAMIN&2023#
07/09/2023 09:58:36,41.0,"MSc Software Design, ITU",71.26,This was mandatory for me,7,2023,#DAMIN&2023#
07/09/2023 10:39:29,44.0,"MSc Software Design, ITU",72.0,"The other courses were even less attractive, It is the most exciting, This was mandatory for me, I'm not sure, let's see how it works out, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:40:03,42.0,"MSc Software Design, ITU",70.8,"I'm not sure, let's see how it works out",7,2023,#DAMIN&2023#
07/09/2023 10:40:27,40.0,"MSc Software Design, ITU",72.0,"I'm not sure, let's see how it works out, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:40:27,44.0,"MSc Software Design, ITU",185.0,"It is the most exciting, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:40:31,6.0,"MSc Software Design, ITU",158.0,This was mandatory for me,7,2023,#DAMIN&2023#
07/09/2023 10:40:35,42.0,MSc elsewhere,72.0,"The other courses were even less attractive, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:40:40,41.0,MSc elsewhere,66.5354331,"It is the most exciting, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:40:49,44.0,MSc elsewhere,75.6,"It is the most exciting, It'll give me commercially useful skills, Curious to extend my current skillset with some formal data-related module",7,2023,#DAMIN&2023#
07/09/2023 10:40:50,42.0,"MSc Software Design, ITU",70.0,"I'm not sure, let's see how it works out",5,2023,#DAMIN&2023#
07/09/2023 10:40:53,7.5,MSc Games ITU,69.0,It is the most exciting,6,2023,#DAMIN&2023#
07/09/2023 10:40:53,39.0,MSc elsewhere,68.89764,The other courses were even less attractive,8,2023,#DAMIN&2023#
07/09/2023 10:41:00,44.5,"MSc Software Design, ITU",75.0,This was mandatory for me,,2023,#DAMIN&2023#
07/09/2023 10:41:03,39.0,"MSc Software Design, ITU",168.0,Specialisation,7,2023,#DAMIN&2023#
07/09/2023 10:41:05,43.0,MSc elsewhere,75.19,"It is the most exciting, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:41:06,40.0,MSc elsewhere,68.0,"It is the most exciting, To try a course at ITU, and to get more experience",7,2023,#DAMIN&2023#
07/09/2023 10:41:13,44.0,MSc elsewhere,69.0,"The other courses were even less attractive, It'll give me commercially useful skills, Aggregate and build on what I learned in my MSc Data Science concisely.",7,2023,#DAMIN&2023#
07/09/2023 10:41:17,43.5,"MSc Software Design, ITU",73.62,This was mandatory for me,7,2023,#DAMIN&2023#
07/09/2023 10:41:19,36.0,MSc elsewhere,5.2,"The other courses were even less attractive, It is the most exciting",7,2023,#DAMIN&2023#
07/09/2023 10:41:19,44.0,"MSc Software Design, ITU",70.0,This was mandatory for me,7,2023,#DAMIN&2023#
07/09/2023 10:41:19,43.0,MSc elsewhere,188.0,It'll give me commercially useful skills,7,2023,#DAMIN&2023#
07/09/2023 10:41:23,45.0,MSc elsewhere,74.0,It'll give me commercially useful skills,7,2023,#DAMIN&2023#
07/09/2023 10:41:33,42.5,"MSc Software Design, ITU",70.1,"This was mandatory for me, It'll give me commercially useful skills",Seven,2023,#DAMIN&2023#
07/09/2023 10:41:35,41.5,"MSc Software Design, ITU",70.07,"The other courses were even less attractive, This was mandatory for me, It'll give me commercially useful skills",6,2023,#DAMIN&2023#
07/09/2023 10:41:37,41.0,"MSc Software Design, ITU",68.0,"It is a part of my specialization, and I felt good about picking a ready-made specialization direction",7,2023,#DAMIN&2023#
07/09/2023 10:41:39,37.0,"MSc Software Design, ITU",63.77,"It is the most exciting, It'll give me commercially useful skills",7,2023,#DAMIN&2023#
07/09/2023 10:41:53,41.5,"MSc Software Design, ITU",172.0,This was mandatory for me,10000,2023,#DAMIN&2023#
07/09/2023 10:42:06,41.5,MSc elsewhere,67.0,It'll give me commercially useful skills,7,2023,#DAMIN&2023#
07/09/2023 10:42:07,38.0,"MSc Software Design, ITU",64.0,"It is the most exciting, This was mandatory for me",7,2023,#DAMIN&2023#
07/09/2023 10:42:08,38.0,"MSc Software Design, ITU",62.59,"It is the most exciting, This was mandatory for me",7,2023,#DAMIN&2023#
07/09/2023 10:42:49,37.0,"MSc Software Design, ITU",150.0,It is the most exciting,7,2023,#DAMIN&2023#
07/09/2023 13:44:39,45.0,"MSc Software Design, ITU",186.0,"I'm not sure, let's see how it works out",7,2023,#DAMIN&2023#
10/09/2023 10:14:47,44.5,"MSc Software Design, ITU",73.622047,It'll give me commercially useful skills,7,2023,#DAMIN&2023#
2024-09-04 10:26:41-03:00,42.0,"MSc Software Design, ITU",180,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-04 16:18:47-03:00,37.0,MSc Elsewhere,65,It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-05 10:45:03-03:00,45.0,MSc Games ITU,193,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-05 15:35:47-03:00,43.5,"MSc Software Design, ITU",72,"I'm not sure, let's see how it works out",7,2024,#DAMIN&2024#
2024-09-05 16:40:58-03:00,45.0,"MSc Software Design, ITU",71.66,This was mandatory for me;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-06 09:42:16-03:00,44.0,"MSc Software Design, ITU",72.5,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-06 10:02:17-03:00,40.0,"MSc Software Design, ITU","5'10""",This was mandatory for me;Would it be disruptive to have an SQL injection here?,7 or 8 i think,2024,#DAMIN&2024#
2024-09-06 11:13:59-03:00,41.0,"MSc Software Design, ITU",66.5,"It is the most exciting;I'm not sure, let's see how it works out",7,2024,#DAMIN&2024#
2024-09-06 11:20:37-03:00,46.0,"MSc Software Design, ITU",77.559,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-06 11:23:21-03:00,41.0,"MSc Software Design, ITU",70,"I'm not sure, let's see how it works out",7,2024,#DAMIN&2024#
2024-09-06 11:24:45-03:00,39.0,"MSc Software Design, ITU",68.8976,This was mandatory for me,7,2024,#DAMIN&2024#
2024-09-06 11:24:48-03:00,44.0,"MSc Software Design, ITU",71,This was mandatory for me,SEVEN,2024,#DAMIN&2024#
2024-09-06 11:28:38-03:00,43.0,"MSc Software Design, ITU",70,It is the most exciting;This was mandatory for me,7,2024,#DAMIN&2024#
2024-09-06 11:31:26-03:00,39.0,"MSc Software Design, ITU","60,6",It'll give me commercially useful skills;It's my specialisation,7,2024,#DAMIN&2024#
2024-09-06 11:45:29-03:00,42.0,"MSc Software Design, ITU",72.8346,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-06 11:46:30-03:00,39.0,"MSc Software Design, ITU",66,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-06 22:37:23-03:00,40.0,"MSc Software Design, ITU",66.14,This was mandatory for me;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-07 23:43:20-03:00,38.0,"MSc Software Design, ITU",163,to solve/optimise issues in the construction industry,7,2024,#DAMIN&2024#
2024-09-08 16:25:50-03:00,42.0,"MSc Software Design, ITU",70.86614,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-13 09:22:48-03:00,43.0,"MSc Software Design, ITU",187,This was mandatory for me,7,2024,#DAMIN&2024#
2024-09-13 09:28:24-03:00,46.0,"MSc Software Design, ITU",71.65,It is the most exciting;This was mandatory for me,7,2024,#DAMIN&2024#
2024-09-13 09:48:18-03:00,44.0,MSc Elsewhere,75,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7,2024,#DAMIN&2024#
2024-09-13 10:05:25-03:00,37.0,"MSc Software Design, ITU",64.56,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-13 11:14:53-03:00,37.0,"MSc Digitial Innovation and Management, ITU",66.9291339,It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-13 11:59:35-03:00,38.5,"MSc Software Design, ITU",168,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-14 22:51:39-03:00,40.0,"MSc Software Design, ITU",70,It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-15 16:03:31-03:00,38.0,"MSc Software Design, ITU","65,75",This was mandatory for me;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-16 15:33:35-03:00,9.0,"MSc Software Design, ITU","5,9",This was mandatory for me,7,2024,#DAMIN&2024#
2024-09-16 23:42:43-03:00,45.0,"MSc Software Design, ITU",6'5,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-17 10:34:06-03:00,46.0,"MSc Software Design, ITU",75,It is the most exciting;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-17 12:40:52-03:00,42.0,"MSc Digitial Innovation and Management, ITU","70,87",The other courses were even less attractive,7,2024,#DAMIN&2024#
2024-09-17 13:35:31-03:00,45.0,"MSc Software Design, ITU",71,This was mandatory for me;It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-17 14:57:49-03:00,38.0,"MSc Digitial Innovation and Management, ITU",5.5,"The other courses were even less attractive;It is the most exciting;I'm not sure, let's see how it works out;It'll give me commercially useful skills",7,2024,#DAMIN&2024#
2024-09-18 14:33:25-03:00,42.0,MSc Elsewhere,178,The other courses were even less attractive;It is the most exciting,7,2024,#DAMIN&2024#
2024-09-18 20:00:18-03:00,42.0,"MSc Software Design, ITU",69.9,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-19 20:25:11-03:00,45.0,"MSc Software Design, ITU",6'4,It is the most exciting,7,2024,#DAMIN&2024#
2024-09-20 10:35:08-03:00,46.0,"MSc Software Design, ITU",186,It'll give me commercially useful skills,7,2024,#DAMIN&2024#
2024-09-20 11:41:14-03:00,42.0,"MSc Digitial Innovation and Management, ITU","5,7",The other courses were even less attractive,7,2024,#DAMIN&2024#
2025-09-01T23:40:11+09:00,39,"MSc Software Design, ITU",63.3,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-02T02:54:57+09:00,36,"MSc Software Design, ITU",67,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-02T06:08:50+09:00,43,"MSc Digitial Innovation and Management, ITU",71,It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-02T10:44:19+09:00,43,"MSc Software Design, ITU",71,It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-02T22:05:53+09:00,38,"MSc Software Design, ITU",66.92917,"It is the most exciting;This was mandatory for me;I love the idea of data and the word ""mining"" combined ",7,2025,&DAMIN#2025&
2025-09-02T22:49:19+09:00,45,"MSc Software Design, ITU",72.835,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-02T23:45:13+09:00,42,"MSc Software Design, ITU",68.11,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-03T00:15:12+09:00,37,"MSc Software Design, ITU",165,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7,2025,&DAMIN#2025&
2025-09-03T00:21:59+09:00,42,"MSc Software Design, ITU",68,It is the most exciting;It'll give me commercially useful skills,6,2025,&DAMIN#2025&
2025-09-03T01:17:55+09:00,43,MSc Elsewhere,188,It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-03T01:19:11+09:00,43,MSc Elsewhere,"70,1",It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-03T01:20:37+09:00,44,"MSc Software Design, ITU",73,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T02:38:07+09:00,"38,5","MSc Digitial Innovation and Management, ITU",164,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T03:19:01+09:00,38,"MSc Software Design, ITU","65,7",It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T03:19:09+09:00,42,MSc Digital Design,71,It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-03T03:20:05+09:00,44,"MSc Software Design, ITU",73,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-03T03:20:48+09:00,43,MSc Elsewhere,73.5,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T03:21:21+09:00,46,MSc Elsewhere,72,"I'm not sure, let's see how it works out",7,2025,&DAMIN#2025&
2025-09-03T03:32:24+09:00,38,"MSc Software Design, ITU","64,9606",It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T03:32:52+09:00,38,"MSc Software Design, ITU",64.6,"I'm not sure, let's see how it works out;data skills",7,2025,&DAMIN#2025&
2025-09-03T03:33:19+09:00,46,"MSc Software Design, ITU",6''2,"It is the most exciting;I'm not sure, let's see how it works out",Seattle,2025,&DAMIN#2025&
2025-09-03T03:39:15+09:00,46,"MSc Software Design, ITU",74.8,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-03T03:46:16+09:00,39,"MSc Software Design, ITU",65,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T03:48:12+09:00,44,"MSc Software Design, ITU",72.44,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T04:26:15+09:00,43,"MSc Software Design, ITU",74.41,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-03T05:21:31+09:00,38,"MSc Software Design, ITU",65.7,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-03T08:02:44+09:00,40,"MSc Software Design, ITU",66.14,It is the most exciting;It is part of my specialization,7,2025,&DAMIN#2025&
2025-09-04T00:39:09+09:00,44,"MSc Software Design, ITU",72.44,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-04T02:49:17+09:00,43,"MSc Software Design, ITU",70'1,It'll give me commercially useful skills,5,2025,&DAMIN#2025&
2025-09-04T05:12:54+09:00,43,MSc Elsewhere,"68,8976",This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-04T10:05:09+09:00,"40,5","MSc Software Design, ITU",67,It is the most exciting;This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-05T00:56:31+09:00,41,"MSc Software Design, ITU",71.16,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-05T23:42:29+09:00,38,"MSc Software Design, ITU",62.99,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-06T00:26:16+09:00,44,"MSc Software Design, ITU",74,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-06T02:29:35+09:00,43,"MSc Software Design, ITU",70,It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-06T06:03:33+09:00,- 41,"MSc Software Design, ITU",1 ton,My favorite ice cream is cheese pie,180 degrees,2025,&DAMIN#2025&
2025-09-09T22:03:41+09:00,45,MSc Elsewhere,"73,622",It is the most exciting,7,2025,&DAMIN#2025&
2025-09-10T00:49:03+09:00,39,MSc Elsewhere,68,It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-10T04:11:57+09:00,46,"MSc Software Design, ITU",73,It'll give me commercially useful skills;Part of potential specialization,7,2025,&DAMIN#2025&
2025-09-16T00:52:32+09:00,45,MSc Elsewhere,183,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-16T00:54:58+09:00,43,"MSc Software Design, ITU",74.8,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-16T01:34:25+09:00,39,MSc Elsewhere,5'10,The other courses were even less attractive;It is the most exciting;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
2025-09-16T01:40:09+09:00,41,"MSc Software Design, ITU",180,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-16T03:25:18+09:00,42,"MSc Software Design, ITU",73.23,This was mandatory for me,7,2025,&DAMIN#2025&
2025-09-16T14:35:12+09:00,EU39,MSc Elsewhere,175,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7,2025,&DAMIN#2025&
2025-09-16T22:11:08+09:00,42,MSc Elsewhere,67.2,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-17T00:54:47+09:00,38,"MSc Software Design, ITU","64,173",It'll give me commercially useful skills,6,2025,&DAMIN#2025&
2025-09-17T01:29:40+09:00,43,MSc Elsewhere,74,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-17T10:42:04+09:00,45,"MSc Software Design, ITU",193,It is the most exciting,7,2025,&DAMIN#2025&
2025-09-18T06:28:37+09:00,39,"MSc Software Design, ITU",164 cm,The other courses were even less attractive;It'll give me commercially useful skills,7,2025,&DAMIN#2025&
