Timestamp,Enter Your Password,Your mean shoe size In the European Continental system,Which program are you studying,Your height in International inches,Why are you taking this course,How many letters are there in the word Seattle
2025-09-10T00:49:03+09:00,&DAMIN#2025&,39,MSc Elsewhere,68,It is the most exciting;It'll give me commercially useful skills,7
2025-09-10T04:11:57+09:00,&DAMIN#2025&,46,"MSc Software Design, ITU",73,It'll give me commercially useful skills;Part of potential specialization,7
2025-09-16T00:52:32+09:00,&DAMIN#2025&,45,MSc Elsewhere,183,It is the most exciting,7
2025-09-16T00:54:58+09:00,&DAMIN#2025&,43,"MSc Software Design, ITU",74.8,This was mandatory for me,7
2025-09-16T01:34:25+09:00,&DAMIN#2025&,39,MSc Elsewhere,5'10,The other courses were even less attractive;It is the most exciting;It'll give me commercially useful skills,7
2025-09-16T01:40:09+09:00,&DAMIN#2025&,41,"MSc Software Design, ITU",180,This was mandatory for me,7
2025-09-16T03:25:18+09:00,&DAMIN#2025&,42,"MSc Software Design, ITU",73.23,This was mandatory for me,7
2025-09-16T14:35:12+09:00,&DAMIN#2025&,EU39,MSc Elsewhere,175,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7
2025-09-16T22:11:08+09:00,&DAMIN#2025&,42,MSc Elsewhere,67.2,It is the most exciting,7
2025-09-17T00:54:47+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU","64,173",It'll give me commercially useful skills,6
2025-09-17T01:29:40+09:00,&DAMIN#2025&,43,MSc Elsewhere,74,It is the most exciting,7
2025-09-17T10:42:04+09:00,&DAMIN#2025&,45,"MSc Software Design, ITU",193,It is the most exciting,7
2025-09-18T06:28:37+09:00,&DAMIN#2025&,39,"MSc Software Design, ITU",164 cm,The other courses were even less attractive;It'll give me commercially useful skills,7
